lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,3273,3283,prod,2136500,1.6360009999999998,prod,2142000,1.6415009999999999,C7ax,alphaL_C7ax,11,5.5
npbc,3284,3284,prod,2142000,1.6415009999999999,prod,2142500,1.642001,alphaL_C7ax,C7ax,1,0.5
npbc,3285,3288,prod,2142500,1.642001,prod,2144500,1.6440009999999998,C7ax,alphaL_C7ax,4,2.0
npbc,3289,3289,prod,2144500,1.6440009999999998,prod,2145000,1.644501,alphaL_C7ax,C7ax,1,0.5
npbc,3290,3291,prod,2145000,1.644501,prod,2146000,1.6455009999999999,C7ax,alphaL_C7ax,2,1.0
npbc,3292,3292,prod,2146000,1.6455009999999999,prod,2146500,1.646001,alphaL_C7ax,C7ax,1,0.5
npbc,3293,3296,prod,2146500,1.646001,prod,2148500,1.6480009999999998,C7ax,alphaL_C7ax,4,2.0
npbc,3297,3297,prod,2148500,1.6480009999999998,prod,2149000,1.648501,alphaL_C7ax,C7ax,1,0.5
npbc,3298,3299,prod,2149000,1.648501,prod,2150000,1.6495009999999999,C7ax,alphaL_C7ax,2,1.0
npbc,3300,3311,prod,2150000,1.6495009999999999,prod,2156000,1.6555010000000001,alphaL_C7ax,C7ax,12,6.0
npbc,3312,3336,prod,2156000,1.6555010000000001,prod,2168500,1.6680009999999998,C7ax,alphaL,25,12.5
npbc,3337,3337,prod,2168500,1.6680009999999998,prod,2169000,1.668501,alphaL,C7ax,1,0.5
npbc,3338,3453,prod,2169000,1.668501,prod,2227000,1.7265009999999998,C7ax,alphaL_C7ax,116,58.0
npbc,3454,3454,prod,2227000,1.7265009999999998,prod,2227500,1.727001,alphaL_C7ax,C7ax,1,0.5
npbc,3455,3545,prod,2227500,1.727001,prod,2273000,1.772501,C7ax,alphaL,91,45.5
npbc,3546,3546,prod,2273000,1.772501,prod,2273500,1.7730009999999998,alphaL,C7ax,1,0.5
npbc,3547,3568,prod,2273500,1.7730009999999998,prod,2284500,1.784001,C7ax,alphaL,22,11.0
npbc,3569,3569,prod,2284500,1.784001,prod,2285000,1.7845010000000001,alphaL,C7ax,1,0.5
npbc,3570,3600,prod,2285000,1.7845010000000001,prod,2300500,1.800001,C7ax,alphaL,31,15.5
npbc,3601,3601,prod,2300500,1.800001,prod,2301000,1.8005010000000001,alphaL,C7ax,1,0.5
npbc,3602,3639,prod,2301000,1.8005010000000001,prod,2320000,1.8195009999999998,C7ax,alphaL,38,19.0
npbc,3640,3640,prod,2320000,1.8195009999999998,prod,2320500,1.820001,alphaL,C7ax,1,0.5
npbc,3641,3694,prod,2320500,1.820001,prod,2347500,1.8470010000000001,C7ax,alphaL_C7ax,54,27.0
npbc,3695,3725,prod,2347500,1.8470010000000001,prod,2363000,1.862501,alphaL_C7ax,C7ax,31,15.5
npbc,3726,3727,prod,2363000,1.862501,prod,2364000,1.8635009999999999,C7ax,alphaL_C7ax,2,1.0
npbc,3728,3730,prod,2364000,1.8635009999999999,prod,2365500,1.865001,alphaL_C7ax,C7ax,3,1.5
npbc,3731,3734,prod,2365500,1.865001,prod,2367500,1.8670010000000001,C7ax,alphaL_C7ax,4,2.0
npbc,3735,3735,prod,2367500,1.8670010000000001,prod,2368000,1.8675009999999999,alphaL_C7ax,C7ax,1,0.5
npbc,3736,3740,prod,2368000,1.8675009999999999,prod,2370500,1.8700009999999998,C7ax,alphaL_C7ax,5,2.5
npbc,3741,3743,prod,2370500,1.8700009999999998,prod,2372000,1.8715009999999999,alphaL_C7ax,C7ax,3,1.5
npbc,3744,3744,prod,2372000,1.8715009999999999,prod,2372500,1.872001,C7ax,alphaL_C7ax,1,0.5
npbc,3745,3746,prod,2372500,1.872001,prod,2373500,1.873001,alphaL_C7ax,C7ax,2,1.0
npbc,3747,3752,prod,2373500,1.873001,prod,2376500,1.876001,C7ax,alphaL_C7ax,6,3.0
npbc,3753,3753,prod,2376500,1.876001,prod,2377000,1.8765009999999998,alphaL_C7ax,C7ax,1,0.5
npbc,3754,3758,prod,2377000,1.8765009999999998,prod,2379500,1.8790010000000001,C7ax,alphaL_C7ax,5,2.5
npbc,3759,3759,prod,2379500,1.8790010000000001,prod,2380000,1.8795009999999999,alphaL_C7ax,C7ax,1,0.5
npbc,3760,3760,prod,2380000,1.8795009999999999,prod,2380500,1.880001,C7ax,alphaL_C7ax,1,0.5
npbc,3761,3761,prod,2380500,1.880001,prod,2381000,1.8805009999999998,alphaL_C7ax,C7ax,1,0.5
npbc,3762,3765,prod,2381000,1.8805009999999998,prod,2383000,1.882501,C7ax,alphaL_C7ax,4,2.0
npbc,3766,3768,prod,2383000,1.882501,prod,2384500,1.884001,alphaL_C7ax,C7ax,3,1.5
npbc,3769,3769,prod,2384500,1.884001,prod,2385000,1.8845009999999998,C7ax,alphaL_C7ax,1,0.5
npbc,3770,3772,prod,2385000,1.8845009999999998,prod,2386500,1.8860009999999998,alphaL_C7ax,C7ax,3,1.5
npbc,3773,3805,prod,2386500,1.8860009999999998,prod,2403000,1.902501,C7ax,alphaL,33,16.5
npbc,3806,3806,prod,2403000,1.902501,prod,2403500,1.9030010000000002,alphaL,C7ax,1,0.5
npbc,3807,3841,prod,2403500,1.9030010000000002,prod,2421000,1.9205009999999998,C7ax,alphaL,35,17.5
npbc,3842,3842,prod,2421000,1.9205009999999998,prod,2421500,1.921001,alphaL,C7ax,1,0.5
npbc,3843,3999,prod,2421500,1.921001,prod,2500000,1.999501,C7ax,alphaL,157,78.5
npbc,4000,4000,prod,2500000,1.999501,prod,2500500,2.000001,alphaL,C7ax,1,0.5
npbc,4001,4052,prod,2500500,2.000001,prod,2526500,2.026001,C7ax,alphaL_C7ax,52,26.0
npbc,4053,4055,prod,2526500,2.026001,prod,2528000,2.027501,alphaL_C7ax,C7ax,3,1.5
npbc,4056,4063,prod,2528000,2.027501,prod,2532000,2.031501,C7ax,alphaL_C7ax,8,4.0
npbc,4064,4064,prod,2532000,2.031501,prod,2532500,2.032001,alphaL_C7ax,C7ax,1,0.5
npbc,4065,4065,prod,2532500,2.032001,prod,2533000,2.032501,C7ax,alphaL_C7ax,1,0.5
npbc,4066,4106,prod,2533000,2.032501,prod,2553500,2.053001,alphaL_C7ax,alphaL,41,20.5
npbc,4107,4107,prod,2553500,2.053001,prod,2554000,2.053501,alphaL,alphaL_C7ax,1,0.5
npbc,4108,4109,prod,2554000,2.053501,prod,2555000,2.054501,alphaL_C7ax,alphaL,2,1.0
