lane,from_frame_start,from_frame_end,from_source,from_step,from_time_ns,to_source,to_step,to_time_ns,from_state,to_state,from_run_len_frames,from_run_len_ps
npbc,2618,2619,prod,1809000,1.3085010000000001,prod,1810000,1.309501,alpha_prime,C7eq,2,1.0
npbc,2620,2624,prod,1810000,1.309501,prod,1812500,1.312001,C7eq,alpha_prime,5,2.5
npbc,2625,2625,prod,1812500,1.312001,prod,1813000,1.3125010000000001,alpha_prime,C7eq,1,0.5
npbc,2626,2626,prod,1813000,1.3125010000000001,prod,1813500,1.3130009999999999,C7eq,alpha_prime,1,0.5
npbc,2627,2627,prod,1813500,1.3130009999999999,prod,1814000,1.313501,alpha_prime,C7eq,1,0.5
npbc,2628,2628,prod,1814000,1.313501,prod,1814500,1.314001,C7eq,alpha_prime,1,0.5
npbc,2629,2629,prod,1814500,1.314001,prod,1815000,1.314501,alpha_prime,C7eq,1,0.5
npbc,2630,2630,prod,1815000,1.314501,prod,1815500,1.315001,C7eq,alpha_prime,1,0.5
npbc,2631,2645,prod,1815500,1.315001,prod,1823000,1.322501,alpha_prime,C7eq,15,7.5
npbc,2646,2646,prod,1823000,1.322501,prod,1823500,1.323001,C7eq,alpha_prime,1,0.5
npbc,2647,2648,prod,1823500,1.323001,prod,1824500,1.324001,alpha_prime,C7eq,2,1.0
npbc,2649,2656,prod,1824500,1.324001,prod,1828500,1.328001,C7eq,alphaR,8,4.0
npbc,2657,2659,prod,1828500,1.328001,prod,1830000,1.329501,alphaR,C7eq,3,1.5
npbc,2660,2662,prod,1830000,1.329501,prod,1831500,1.331001,C7eq,alphaR,3,1.5
npbc,2663,2663,prod,1831500,1.331001,prod,1832000,1.331501,alphaR,C7eq,1,0.5
npbc,2664,2677,prod,1832000,1.331501,prod,1839000,1.338501,C7eq,alpha_prime,14,7.0
npbc,2678,2691,prod,1839000,1.338501,prod,1846000,1.345501,alpha_prime,C7eq,14,7.0
npbc,2692,2694,prod,1846000,1.345501,prod,1847500,1.3470010000000001,C7eq,PPII,3,1.5
npbc,2695,2695,prod,1847500,1.3470010000000001,prod,1848000,1.3475009999999998,PPII,C7eq,1,0.5
npbc,2696,2696,prod,1848000,1.3475009999999998,prod,1848500,1.348001,C7eq,PPII,1,0.5
npbc,2697,2697,prod,1848500,1.348001,prod,1849000,1.348501,PPII,C7eq,1,0.5
npbc,2698,2700,prod,1849000,1.348501,prod,1850500,1.350001,C7eq,PPII,3,1.5
npbc,2701,2701,prod,1850500,1.350001,prod,1851000,1.350501,PPII,C7eq,1,0.5
