frame,step,time_ns,n_solute_to_water,n_water_to_solute,n_total
455,5050000,4.55,1,4,5
456,5060000,4.5600000000000005,0,2,2
457,5070000,4.57,0,4,4
458,5080000,4.58,1,5,6
459,5090000,4.59,1,2,3
460,5100000,4.6000000000000005,1,3,4
461,5110000,4.61,2,2,4
462,5120000,4.62,1,3,4
463,5130000,4.63,1,3,4
464,5140000,4.64,2,3,5
465,5150000,4.65,0,1,1
466,5160000,4.66,1,2,3
467,5170000,4.67,1,3,4
468,5180000,4.68,2,5,7
469,5190000,4.69,1,3,4
470,5200000,4.7,2,2,4
471,5210000,4.71,0,2,2
472,5220000,4.72,1,2,3
473,5230000,4.73,2,4,6
474,5240000,4.74,1,2,3
475,5250000,4.75,2,4,6
476,5260000,4.76,1,4,5
477,5270000,4.7700000000000005,2,2,4
478,5280000,4.78,1,4,5
479,5290000,4.79,2,3,5
480,5300000,4.8,1,1,2
481,5310000,4.8100000000000005,1,2,3
482,5320000,4.82,1,3,4
483,5330000,4.83,0,1,1
484,5340000,4.84,0,4,4
485,5350000,4.8500000000000005,1,3,4
486,5360000,4.86,1,2,3
487,5370000,4.87,1,2,3
488,5380000,4.88,1,3,4
489,5390000,4.89,1,3,4
490,5400000,4.9,1,3,4
491,5410000,4.91,1,3,4
492,5420000,4.92,1,3,4
493,5430000,4.93,0,2,2
494,5440000,4.94,1,2,3
495,5450000,4.95,1,4,5
496,5460000,4.96,0,3,3
497,5470000,4.97,2,3,5
498,5480000,4.98,1,2,3
499,5490000,4.99,1,3,4
500,5500000,5.0,2,3,5
